job, trial, rng, PercRed, SearchRadiusPerc, SchoolEnrollmentByLottery, DissimilarityIndex-final, DissimilarityIndex-min, DissimilarityIndex-max, DissimilarityIndex-avg, DissimilarityIndex-0, DissimilarityIndex-1, DissimilarityIndex-2, DissimilarityIndex-3, DissimilarityIndex-4, DissimilarityIndex-5, DissimilarityIndex-6, DissimilarityIndex-7, DissimilarityIndex-8, DissimilarityIndex-9, DissimilarityIndex-10, DissimilarityIndex-11, DissimilarityIndex-12, DissimilarityIndex-13, DissimilarityIndex-14, DissimilarityIndex-15, DissimilarityIndex-16, DissimilarityIndex-17, DissimilarityIndex-18, DissimilarityIndex-19, DissimilarityIndex-20, DissimilarityIndex-21, DissimilarityIndex-22, DissimilarityIndex-23, DissimilarityIndex-24
1, 2, 1745258452, 0.2, 0.2, 0.0, 0.48120312794114173, 0.4861748206925531, 0.45422008950687254, 0.535383168143996, 0.535383168143996, 0.47752166922760003, 0.45422008950687254, 0.5074675033617213, 0.5023074075132768, 0.4753965710130527, 0.5306130466014187, 0.48500965612172786, 0.4833912726716706, 0.48184513506571824, 0.46821857937643047, 0.4573651071161618, 0.4884167597387212, 0.48266396956019675, 0.482014830083805, 0.47891647303412016, 0.47705269064944633, 0.48686485189872364, 0.49416750330929066, 0.4584309932553136, 0.4662011929389846, 0.4873404812948975, 0.5209622753038095, 0.49139616258573415, 0.48120312794114173, 
4, 5, 1745258455, 0.2, 0.2, 0.0, 0.49419382412650925, 0.479516652560965, 0.45220259594150913, 0.5322144906164676, 0.5014107418668993, 0.4970414773961821, 0.4961952980997071, 0.5322144906164676, 0.4585442599431008, 0.48463250121688334, 0.4595192581107811, 0.4627680113392896, 0.47452246485553035, 0.47089833955933036, 0.46058137735077226, 0.4857966882886939, 0.4801076501715567, 0.4721591830972263, 0.47325683649757205, 0.471230697943007, 0.47052245338363863, 0.4759341358091695, 0.48521151641380195, 0.45220259594150913, 0.46847928396221816, 0.4852751065953009, 0.4687260147575915, 0.5064921066813887, 0.49419382412650925, 
14, 15, 1745258465, 0.2, 0.2, 0.0, 0.4920628867776519, 0.48308363956115796, 0.4504194292454118, 0.5161181725621572, 0.5161181725621572, 0.4912091547961401, 0.4650824899726981, 0.48123212827194084, 0.48618040995953604, 0.49108403328206957, 0.4707260017932117, 0.5097422701137869, 0.47435419261243017, 0.48992017536779225, 0.47075400119778144, 0.45806212011249203, 0.4613452528070591, 0.5141672157013554, 0.4504194292454118, 0.4606222217379936, 0.4839705191148794, 0.4849043698254375, 0.4889227610480694, 0.4946083983331551, 0.4675829622995662, 0.4974890024478185, 0.49399251749121204, 0.48253830215730364, 0.4920628867776519, 
13, 14, 1745258464, 0.2, 0.2, 0.0, 0.48582147346682236, 0.4579425799973358, 0.4185844807313734, 0.5067904283020562, 0.5067904283020562, 0.4827797194561626, 0.44401832485492365, 0.4361811357387921, 0.4614796198259204, 0.427933700110148, 0.44209361819816073, 0.44676986672483393, 0.46044444444444443, 0.45617545350000105, 0.4776973640124033, 0.45612611619446597, 0.45543558801736, 0.4185844807313734, 0.41870407330127923, 0.478979968598492, 0.46147449058817447, 0.4629924744782309, 0.4850324183115001, 0.46697990259962974, 0.47582715728217934, 0.4564913504434739, 0.4409131309649757, 0.4428381997875939, 0.48582147346682236, 
19, 20, 1745258470, 0.2, 0.2, 0.0, 0.4598993073904203, 0.4633566569198784, 0.4405116836824502, 0.49219326274765374, 0.4872742490574402, 0.4750584325993057, 0.4499768724200032, 0.45550792235407095, 0.458918889975395, 0.45410526315789473, 0.4405116836824502, 0.4617035648914843, 0.4481426936622157, 0.46731131388746694, 0.45229439899287727, 0.44210143704287924, 0.49219326274765374, 0.46918990481731204, 0.4540171356058467, 0.4693247818947185, 0.4643684293241354, 0.4693478320572305, 0.4471809697830276, 0.45148909061952547, 0.489320459162858, 0.47619434566557467, 0.4632091583625553, 0.4852750238426158, 0.4598993073904203, 
17, 18, 1745258468, 0.2, 0.2, 0.0, 0.4514847102160003, 0.46718726957519985, 0.4314930352666203, 0.519670859786795, 0.519670859786795, 0.47093309685683316, 0.47343439728966114, 0.46948988365985084, 0.4628988040067449, 0.4741349254772073, 0.45319655203376136, 0.46840759479155014, 0.46491049151889385, 0.47605447966237185, 0.47631813133559064, 0.484514320584075, 0.4606910561568115, 0.468358307876101, 0.45450070323488045, 0.4461215712722086, 0.4454235347863871, 0.4314930352666203, 0.46428118675074126, 0.48326569197281133, 0.49881309420109726, 0.4803586506372884, 0.45091420534458504, 0.4500124546611302, 0.4514847102160003, 
15, 16, 1745258466, 0.2, 0.2, 0.0, 0.4599517842397564, 0.47986407125641195, 0.45306320065219174, 0.518321490502155, 0.518321490502155, 0.47328190471978693, 0.47997639081601357, 0.45306320065219174, 0.4740482696298645, 0.4793914926225898, 0.4768211075512129, 0.48848796893030527, 0.48752749842866117, 0.46419056920610674, 0.4706525313951686, 0.4793937498503133, 0.5111764265388647, 0.4785335147711415, 0.4756463230913063, 0.4880058314981838, 0.46827916216937215, 0.46372774408807066, 0.5065283287761099, 0.46497288715125284, 0.48863937994372786, 0.4889575121668262, 0.4796071336442315, 0.47741957902708715, 0.4599517842397564, 
21, 22, 1745258472, 0.2, 0.2, 0.0, 0.48925666951191543, 0.4778000216715587, 0.4465375228798048, 0.5219311605239111, 0.4589200797668353, 0.458634602112863, 0.45574099796986856, 0.4955951511118571, 0.5216544283188664, 0.4939989547933293, 0.49095273421844754, 0.4609938831191691, 0.4600877472390592, 0.46610420821189347, 0.5219311605239111, 0.46413287218273724, 0.4536936689759243, 0.4713395600947462, 0.4705060081578657, 0.4465375228798048, 0.482582487151001, 0.48741941082859164, 0.4900731436913497, 0.4736555390917807, 0.4865886361350273, 0.4968872747739736, 0.46622476585605466, 0.4814890350720998, 0.48925666951191543, 
16, 17, 1745258467, 0.2, 0.2, 0.0, 0.4508552736869045, 0.46594422749025777, 0.43098576533215677, 0.5399845661999779, 0.5399845661999779, 0.47471731325810596, 0.47234345351043655, 0.48011927424832596, 0.45365453637409314, 0.4708089534266057, 0.46393222393409744, 0.48170237741034994, 0.44092873310926683, 0.48965625687062897, 0.47866963953920477, 0.4469692241091226, 0.45280351934431673, 0.4674671099612765, 0.43098576533215677, 0.4730865319100614, 0.43616466927527353, 0.4456472331708167, 0.4467203174953147, 0.4809846446816384, 0.4767826883968421, 0.4636978433824168, 0.49044834307992197, 0.43947519554928777, 0.4508552736869045, 
20, 21, 1745258471, 0.2, 0.2, 0.0, 0.48290981471449584, 0.48275712051281, 0.45320367681604506, 0.5111979291466598, 0.47173932876444796, 0.45320367681604506, 0.4966463299979913, 0.49289979324004796, 0.4866132147229895, 0.4940828417485729, 0.48633602902264655, 0.5011671158803328, 0.46261052631578947, 0.5111979291466598, 0.4976599893386214, 0.48986724917780794, 0.47393919430197123, 0.47553305721736455, 0.49885204432831526, 0.4794998717071503, 0.4878978624992629, 0.4585467562287935, 0.4753143952333385, 0.4775583141152393, 0.4801360145481949, 0.4868240546342131, 0.46425598960922654, 0.483636619510729, 0.48290981471449584, 
